,city,recreation_score,rec_entertainment,costs,parks,weather,latitude,longitude,health_score,health_rank,food_rank,fitness_rank,greenspace_rank,happiness_score,hap_entertainment,income_employment,community_environment
48,"Kansas City, MO",43.07,67,24,49,44,39.0997265,-94.5785667,43.9,56,56,56,60,51.96,54,53,54
49,"St. Paul, MN",43.0,35,49,22,69,44.9537029,-93.0899578,52.73,16,16,16,17,65.79,15,15,15
50,"Chandler, AZ",42.82,79,63,66,14,33.3061605,-111.8412502,49.63,18,19,18,20,63.83,18,18,18
51,"Plano, TX",42.74,64,31,61,45,33.0198431,-96.6988856,52.77,2,2,2,2,72.3,2,2,2
52,"Fort Worth, TX",42.65,63,58,56,32,32.7554883,-97.3307658,41.28,69,70,69,74,62.35,66,66,66
53,"Dallas, TX",42.57,31,34,50,72,32.7766642,-96.79698789999999,46.69,82,82,81,87,59.82,78,77,78
54,"Houston, TX",42.42,24,67,33,86,29.7604267,-95.3698028,48.3,76,76,75,80,55.33,72,72,72
55,"North Las Vegas, NV",42.37,91,73,32,5,36.1988592,-115.1175013,34.79,100,101,99,106,47.19,96,95,96
56,"Milwaukee, WI",42.0,36,32,35,95,43.0389025,-87.9064736,45.5,63,63,63,67,48.75,60,60,60
57,"Baton Rouge, LA",41.98,43,30,80,54,30.4514677,-91.18714659999999,34.8,98,99,98,104,48.56,94,93,94
58,"Tulsa, OK",41.91,59,44,78,30,36.1539816,-95.99277500000001,38.68,61,61,60,64,46.5,58,58,58
59,"Corpus Christi, TX",41.58,60,20,38,66,27.8005828,-97.39638099999999,33.74,84,85,84,90,51.5,81,80,81
60,"Greensboro, NC",41.39,69,11,44,57,36.0726354,-79.7919754,42.72,51,51,51,54,54.9,49,48,49
61,"Bakersfield, CA",41.26,95,39,94,2,35.3732921,-119.0187125,37.04,88,89,88,94,50.98,85,84,85
62,"Mesa, AZ",41.2,73,65,71,20,33.4151843,-111.8314724,43.83,45,45,44,47,59.25,43,42,43
63,"Raleigh, NC",41.09,46,14,83,79,35.7795897,-78.6381787,56.55,6,6,6,7,64.99,6,6,6
64,"Norfolk, VA",40.9,55,69,17,62,36.8507689,-76.28587259999999,41.22,50,50,49,53,49.97,48,47,48
65,"Nashville, TN",40.89,27,54,59,88,36.1626638,-86.7816016,46.08,52,52,52,55,55.34,50,49,50
66,"Buffalo, NY",40.51,32,56,36,100,42.88644679999999,-78.8783689,45.8,36,37,36,39,49.22,35,35,35
67,"Stockton, CA",40.47,97,76,46,10,37.9577016,-121.2907796,37.38,92,93,92,98,48.35,88,88,88
68,"Gilbert, AZ",40.38,80,16,98,14,33.3528264,-111.789027,47.89,13,13,13,13,65.07,12,12,12
69,"Winston-Salem, NC",40.35,76,47,73,39,36.09985959999999,-80.244216,35.2,68,69,68,72,51.44,65,65,65
70,"San Bernardino, CA",40.23,99,79,99,8,34.1083449,-117.2897652,35.6,99,99,98,105,49.56,94,94,94
71,"Lubbock, TX",39.7,82,28,67,48,33.5778631,-101.8551665,36.94,77,77,76,82,52.29,73,73,73
72,"Boston, MA",39.68,21,98,3,98,42.3600825,-71.0588801,57.44,24,24,24,25,60.96,23,23,23
73,"San Jose, CA",39.58,71,86,40,23,37.3382082,-121.8863286,57.11,13,13,13,14,68.9,13,13,13
74,"Arlington, TX",39.46,68,68,87,36,32.735687,-97.10806559999999,39.4,61,62,61,65,61.73,59,58,59
75,"Baltimore, MD",39.11,41,78,23,89,39.2903848,-76.6121893,48.11,50,51,50,53,44.75,48,48,48
76,"Riverside, CA",39.07,77,83,92,1,33.9806005,-117.3754942,42.44,60,60,59,63,57.25,57,57,57
77,"Detroit, MI",38.65,78,62,31,60,42.331427,-83.0457538,32.3,99,100,99,106,29.19,95,95,95
78,"Fresno, CA",38.49,90,59,90,19,36.7377981,-119.7871247,39.49,90,90,89,95,48.86,86,85,86
79,"Indianapolis, IN",38.3,38,19,93,99,39.768403,-86.158068,40.76,93,94,93,99,47.83,89,88,89
80,"Santa Ana, CA",38.2,72,87,77,21,33.7454725,-117.867653,44.05,65,66,65,69,60.96,62,62,62
81,"Laredo, TX",38.16,98,21,91,31,27.5035613,-99.5075519,25.46,97,97,96,102,54.4,92,92,92
82,"Wichita, KS",37.98,81,3,75,85,37.68717609999999,-97.33005299999999,35.92,84,84,83,89,49.79,80,80,80
83,"Louisville, KY",37.87,44,45,79,91,38.2526647,-85.7584557,42.95,58,59,58,62,50.31,56,55,56
84,"Lexington-Fayette, KY",37.75,74,22,88,62,38.0405837,-84.5037164,40.82,31,31,30,33,54.13,29,29,29
85,"Toledo, OH",37.6,88,55,58,50,41.6528052,-83.5378674,33.73,79,79,78,83,39.48,75,75,75
86,"Newark, NJ",36.95,89,29,41,97,40.735657,-74.1723667,37.53,92,92,91,98,41.86,88,87,88
87,"Charlotte, NC",36.94,49,61,97,71,35.2270869,-80.8431267,49.53,29,30,29,31,61.22,28,28,28
88,"Aurora, CO",36.49,84,46,52,65,39.7294319,-104.8319195,50.21,31,31,31,33,61.83,30,30,30
89,"Garland, TX",36.43,96,74,84,33,32.912624,-96.63888329999999,38.6,89,90,89,94,61.86,85,85,85
90,"Fremont, CA",36.13,92,97,26,24,37.5485396,-121.988583,57.79,5,5,5,6,71.17,5,5,5
91,"Durham, NC",35.86,65,43,89,79,35.9940329,-78.898619,48.53,12,12,12,13,60.9,12,12,12
92,"Memphis, TN",35.16,70,35,96,87,35.1495343,-90.0489801,31.07,95,96,95,101,44.45,91,91,91
93,"Hialeah, FL",35.1,85,88,72,38,25.8575963,-80.2781057,37.02,74,74,74,79,54.33,71,70,71
94,"Anchorage, AK",34.83,62,91,14,82,61.2180556,-149.9002778,42.97,77,78,77,82,59.53,74,74,74
95,"Chula Vista, CA",34.69,100,82,85,29,32.6400541,-117.0841955,47.33,36,36,36,38,64.54,34,34,34
96,"Fort Wayne, IN",34.46,75,13,86,96,41.079273,-85.1393513,38.49,80,81,80,85,47.63,77,76,77
97,"Oakland, CA",33.95,61,95,68,51,37.8043514,-122.2711639,53.49,32,32,32,34,63.16,30,30,30
98,"Irving, TX",33.39,94,75,60,76,32.8140177,-96.9488945,38.52,86,87,86,91,64.07,82,82,82
99,"Jersey City, NJ",31.91,93,90,53,55,40.7177545,-74.0431435,43.4,42,42,42,45,56.85,40,40,40
